geoid,baseline_distance,raw_distance,change_distance
245100105002002,460.2,1950.3,1490.1
245100105002003,543.6,1933.6,1390.0
245100105002004,507.2,1898.3,1391.1
245100105002005,417.6,1808.2,1390.6
245100105002006,415.1,1875.7,1460.6
245100105002007,354.1,1936.7,1582.6
245100105002008,435.7,1970.8,1535.1
245100105002009,385.1,2022.3,1637.1999999999998
245100105002010,332.0,2073.5,1741.5
245100105002011,319.5,2000.3,1680.8
245100105002012,315.5,1944.2,1628.7
245100105002013,376.2,1882.4,1506.2
245100105002014,346.8,1852.6,1505.8
245100105002015,285.9,1914.7,1628.8000000000002
245100201001000,645.7,2160.7,1514.9999999999998
245100201001001,566.9,2233.7,1666.7999999999997
245100201001002,436.8,2315.8,1879.0000000000002
245100201001003,355.5,2395.4,2039.9
245100201001004,229.0,2388.0,2159.0
245100201001005,283.8,2332.7,2048.8999999999996
245100201001006,338.8,2278.0,1939.2
245100201001007,490.8,2219.0,1728.2
245100201001008,430.7,2137.9,1707.2
245100201002000,299.4,2205.5,1906.1
245100201002001,216.8,2288.1,2071.2999999999997
245100201002002,161.9,2345.4,2183.5
245100201002003,76.0,2399.3,2323.3
245100201002004,70.0,2337.4,2267.4
245100201002005,126.0,2280.6,2154.6
245100201002006,166.1,2157.2,1991.1
245100201002007,270.8,2109.7,1838.8999999999999
245100201002008,211.3,2173.6,1962.3
245100201002009,165.2,2126.1,1960.8999999999999
245100201002010,153.0,2194.1,2041.1
245100201002011,181.6,2269.8,2088.2000000000003
245100201002012,86.6,2174.8,2088.2000000000003
245100201002013,80.5,2089.1,2008.6
245100201002014,286.8,2073.3,1786.5000000000002
245100202001000,406.4,2392.9,1986.5
245100202001001,462.8,2336.2,1873.3999999999999
245100202001002,527.0,2272.0,1745.0
245100202001003,664.7,2131.0,1466.3
245100202001004,284.2,2443.2,2159.0
245100202001005,341.8,2424.7,2082.8999999999996
245100202001006,416.7,2352.8,1936.1000000000001
245100202001007,449.9,2394.8,1944.9
245100202001008,616.3,2182.4,1566.1000000000001
245100202001009,569.6,2229.3,1659.7000000000003
245100202002000,164.9,2456.6,2291.7
245100202002001,222.2,2513.9,2291.7000000000003
245100202002002,296.8,2478.9,2182.1
245100202002003,393.3,2381.3,1988.0000000000002
245100202002004,357.5,2398.5,2041.0
245100202002005,223.8,2490.3,2266.5
245100202002006,184.7,2451.0,2266.3
245100202002007,125.9,2393.9,2268.0
245100202002008,236.8,2324.9,2088.1
245100202002009,295.8,2384.0,2088.2
245100202002010,325.7,2413.9,2088.2000000000003
245100202002011,427.8,2515.9,2088.1
245100202002012,390.6,2478.8,2088.2000000000003
245100203001000,160.0,2058.2,1898.1999999999998
245100203001001,58.0,2055.3,1997.3000000000002
245100203001002,123.1,2211.3,2088.2000000000003
245100203001003,177.3,2265.5,2088.2
245100203001004,229.9,2318.1,2088.2
245100203001005,288.4,2376.6,2088.2
245100203001006,352.6,2440.8,2088.2000000000003
245100203001007,462.2,2506.6,2044.3999999999999
245100203001008,569.4,2599.6,2030.1999999999998
245100203001009,471.5,2580.0,2108.5
245100203001010,469.7,2578.2,2108.5
245100203001011,443.4,2554.0,2110.6
245100203001012,320.2,2428.7,2108.5
245100203001013,210.0,2318.5,2108.5
245100203001014,141.1,2167.3,2026.2000000000003
245100203001015,188.7,2113.7,1924.9999999999998
245100203001016,230.0,2119.1,1889.1
245100203001017,313.8,2139.8,1826.0000000000002
245100203001018,234.1,2343.0,2108.9
245100203002000,595.2,2461.0,1865.8
245100203002001,512.3,2337.1,1824.8
245100203002002,451.7,2277.0,1825.3
245100203002003,388.8,2216.6,1827.8
245100203002004,377.3,2151.1,1773.8
245100203002005,178.8,2007.8,1829.0
245100203002006,263.1,2204.0,1940.9
245100203002007,255.9,2196.8,1940.9
245100203002008,318.4,2259.2,1940.7999999999997
245100203002009,384.9,2325.7,1940.7999999999997
245100203002010,508.5,2449.4,1940.9
245100203002011,507.8,2448.6,1940.8
245100203002012,583.5,2524.4,1940.9
245100203002013,652.0,2621.6,1969.6
245100203002014,577.6,2553.4,1975.8000000000002
245100203002015,515.5,2491.4,1975.9
245100203002016,454.9,2430.7,1975.7999999999997
245100203002017,454.9,2430.7,1975.7999999999997
245100203002018,329.0,2304.8,1975.8000000000002
245100203002019,246.9,2222.7,1975.7999999999997
245100203002020,177.8,2116.4,1938.6000000000001
245100203002021,676.2,2578.4,1902.2
245100203002022,704.9,2555.9,1851.0
245100203002023,776.4,2484.4,1708.0
245100203002024,884.7,2577.7,1692.9999999999998
245100203002025,962.0,2530.2,1568.1999999999998
245100203002026,556.3,2532.1,1975.8
245100203002027,494.8,2470.7,1975.8999999999999
245100203002028,334.6,2310.4,1975.8000000000002
245100203002029,432.5,2408.4,1975.9
245100203002030,807.2,2542.0,1734.8
245100203002031,691.3,2621.7,1930.3999999999999
245100203002032,699.9,2515.8,1815.9
245100203002033,872.9,2453.4,1580.5
245100203003000,216.6,2324.7,2108.1
245100203003001,433.0,2543.7,2110.7
245100203003002,491.7,2587.8,2096.1000000000004
245100203003003,586.0,2633.9,2047.9
245100203003004,653.6,2590.8,1937.2000000000003
245100203003005,685.7,2557.9,1872.2
245100203003006,786.6,2456.8,1670.2000000000003
245100203003007,699.1,2519.9,1820.8000000000002
245100203003008,651.3,2562.0,1910.7
245100203003009,584.0,2671.0,2087.0
245100203003010,864.7,2715.0,1850.3
245100203003011,727.7,2769.5,2041.8
245100203003012,670.3,2651.3,1981.0000000000002
245100203003013,801.1,2472.7,1671.6
245100203003014,710.8,2534.7,1823.8999999999999
245100301001000,611.7,2156.1,1544.3999999999999
245100301001001,771.1,1995.4,1224.3000000000002
245100301001002,753.7,1831.8,1078.1
245100301001003,701.6,1753.2,1051.6
245100301001004,620.0,1957.1,1337.1
245100301001005,833.0,2012.7,1179.7
245100301001006,891.0,2070.8,1179.8000000000002
245100301001007,687.2,2086.1,1398.8999999999999
245100301001008,617.0,2155.5,1538.5
245100301001009,598.6,2173.1,1574.5
245100301001010,561.2,2211.5,1650.3
245100301001011,489.5,2283.1,1793.6
245100301001012,488.5,2284.1,1795.6
245100301001013,422.7,2337.8,1915.1000000000001
245100301001014,468.5,2288.9,1820.4
245100301001015,490.8,2266.6,1775.8
245100301001016,515.4,2242.8,1727.4
245100301001017,642.5,2139.7,1497.1999999999998
245100301001018,558.9,2055.6,1496.6999999999998
245100301001019,490.2,1986.9,1496.7
245100301001020,404.3,1893.6,1489.3
245100301001021,612.8,1964.2,1351.4
245100301001022,655.4,1809.0,1153.6
245100301001023,364.9,2023.1,1658.1999999999998
245100301001024,498.1,2156.9,1658.8000000000002
245100301001025,499.0,2156.0,1657.0
245100301001026,559.2,2219.1,1659.8999999999999
245100301001027,587.4,2395.2,1807.7999999999997
245100301001028,483.5,2435.0,1951.5
245100301001029,329.6,1987.2,1657.6
245100301001030,290.5,1946.2,1655.7
245100301002000,1041.2,2070.0,1028.8
245100301002001,992.7,2005.7,1013.0
245100301002002,1094.5,1863.6,769.0999999999999
245100301002003,1145.4,1790.3,644.8999999999999
245100301002004,1131.4,1804.3,672.8999999999999
245100301002005,1127.8,1711.7,583.9000000000001
245100301002006,1057.9,1652.6,594.6999999999998
245100301002007,1039.9,1622.6,582.6999999999998
245100301002008,986.1,1637.1,650.9999999999999
245100301002009,1048.5,1714.9,666.4000000000001
245100301002010,1111.3,1781.4,670.1000000000001
245100301002011,1013.0,1873.9,860.9000000000001
245100301002012,946.3,1935.8,989.5
245100301002013,863.6,2065.8,1202.2000000000003
245100301002014,894.1,2069.1,1175.0
245100301002015,956.2,2045.6,1089.3999999999999
