geoid,baseline_distance,raw_distance,change_distance
245100104002024,404.3,1759.0,1354.7
245100104002025,615.3,1986.8,1371.5
245100105001000,847.4,847.4,0.0
245100105001001,703.5,703.5,0.0
245100105001002,662.3,662.3,0.0
245100105001003,536.2,536.2,0.0
245100105001004,587.6,587.6,0.0
245100105001005,660.5,660.5,0.0
245100105001006,726.4,726.4,0.0
245100105001007,756.5,756.5,0.0
245100105001008,664.7,664.7,0.0
245100105001009,671.8,671.8,0.0
245100105001010,367.7,367.7,0.0
245100105001011,420.8,420.8,0.0
245100105002000,542.5,542.5,0.0
245100105002001,541.1,541.1,0.0
245100105002002,460.2,460.2,0.0
245100105002003,543.6,543.6,0.0
245100105002004,507.2,507.2,0.0
245100105002005,417.6,642.6,225.0
245100105002006,415.1,529.8,114.69999999999993
245100105002007,354.1,468.8,114.69999999999999
245100105002008,435.7,435.7,0.0
245100105002009,385.1,385.1,0.0
245100105002010,332.0,332.0,0.0
245100105002011,319.5,503.1,183.60000000000002
245100105002012,315.5,506.9,191.39999999999998
245100105002013,376.2,568.7,192.50000000000006
245100105002014,346.8,598.7,251.90000000000003
245100105002015,285.9,538.2,252.30000000000007
245100201001000,645.7,645.7,0.0
245100201001001,566.9,566.9,0.0
245100201001002,436.8,436.8,0.0
245100201001003,355.5,355.5,0.0
245100201001004,229.0,229.0,0.0
245100201001005,283.8,283.8,0.0
245100201001006,338.8,338.8,0.0
245100201001007,490.8,490.8,0.0
245100201001008,430.7,430.7,0.0
245100201002000,299.4,299.4,0.0
245100201002001,216.8,216.8,0.0
245100201002002,161.9,161.9,0.0
245100201002003,76.0,76.0,0.0
245100201002004,70.0,70.0,0.0
245100201002005,126.0,126.0,0.0
245100201002006,166.1,166.1,0.0
245100201002007,270.8,270.8,0.0
245100201002008,211.3,232.2,20.899999999999977
245100201002009,165.2,280.6,115.40000000000003
245100201002010,153.0,212.5,59.5
245100201002011,181.6,184.4,2.8000000000000114
245100201002012,86.6,279.6,193.00000000000003
245100201002013,80.5,365.7,285.2
245100201002014,286.8,479.5,192.7
245100202001000,406.4,406.4,0.0
245100202001001,462.8,462.8,0.0
245100202001002,527.0,527.0,0.0
245100202001003,664.7,664.7,0.0
245100202001004,284.2,284.2,0.0
245100202001005,341.8,341.8,0.0
245100202001006,416.7,416.7,0.0
245100202001007,449.9,449.9,0.0
245100202001008,616.3,616.3,0.0
245100202001009,569.6,569.6,0.0
245100202002000,164.9,164.9,0.0
245100202002001,222.2,222.2,0.0
245100202002002,296.8,296.8,0.0
245100202002003,393.3,393.3,0.0
245100202002004,357.5,357.5,0.0
245100202002005,223.8,223.8,0.0
